City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,mar del plata,-38.0023,-57.5575,66.09,82,75,4.61,AR,1679281207
212,hawkesbury,45.6001,-74.616,16.05,93,55,4.56,CA,1679281416
213,bay roberts,47.5999,-53.2648,31.66,83,2,8.99,CA,1679281416
214,walvis bay,-22.9575,14.5053,61.09,83,5,6.55,NA,1679281182
215,sitka,57.0531,-135.33,36.81,99,100,2.89,US,1679281417
216,saint george,37.1041,-113.5841,46.44,85,100,4.61,US,1679281286
217,labrea,-7.2586,-64.7981,73.0,98,100,1.61,BR,1679281418
218,vila franca do campo,37.7167,-25.4333,59.41,87,14,8.7,PT,1679281418
219,cabo san lucas,22.8909,-109.9124,72.05,76,0,3.0,MX,1679281364
220,tarnogskiy gorodok,60.4997,43.5761,25.12,97,100,5.64,RU,1679281419
221,fairbanks,64.8378,-147.7164,33.1,51,16,2.37,US,1679281422
222,sao joao da barra,-21.6403,-41.0511,75.4,89,3,7.11,BR,1679281423
223,souillac,-20.5167,57.5167,73.78,100,40,4.61,MU,1679281423
224,esperance,-33.8667,121.9,75.45,47,83,9.46,AU,1679281423
225,lorengau,-2.0226,147.2712,84.22,70,99,5.3,PG,1679281424
226,sao filipe,14.8961,-24.4956,70.86,81,5,4.74,CV,1679281424
227,verkhovazhye,60.7472,42.0465,27.32,96,100,6.04,RU,1679281425
228,provideniya,64.3833,-173.3,26.71,80,100,17.9,RU,1679281425
229,chuy,-33.6971,-53.4616,72.63,91,1,6.96,UY,1679281426
230,mnogovershinnyy,53.9353,139.9242,26.35,62,56,6.38,RU,1679281426
231,merauke,-8.4667,140.3333,82.63,75,100,1.72,ID,1679281427
232,eseka,3.65,10.7667,70.74,94,100,2.39,CM,1679281427
233,fernley,39.608,-119.2518,47.26,83,76,5.75,US,1679281163
234,sechura,-5.5569,-80.8222,80.49,74,100,7.23,PE,1679281428
235,cayenne,4.9333,-52.3333,78.84,78,15,10.36,GF,1679281205
236,narsaq,60.9167,-46.05,35.82,70,97,10.49,GL,1679281429
237,portland,45.5234,-122.6762,49.93,92,100,8.05,US,1679281420
238,gao,16.6362,1.637,75.06,6,0,7.36,ML,1679281343
239,tahlequah,35.9154,-94.97,33.04,64,0,0.0,US,1679281315
240,fengrun,39.8333,118.1167,59.77,46,45,12.41,CN,1679281430
241,tilichiki,60.4667,166.1,13.01,84,28,3.53,RU,1679281431
242,bengkulu,-3.8004,102.2655,84.06,68,86,1.14,ID,1679281431
243,moranbah,-22.0016,148.0466,85.82,50,54,17.02,AU,1679281431
244,miandoab,36.9694,46.1027,39.58,83,0,5.19,IR,1679281432
245,abu zabad,12.35,29.25,72.99,15,98,11.36,SD,1679281432
246,beringovskiy,63.05,179.3167,19.33,91,100,11.01,RU,1679281433
247,cutlerville,42.8409,-85.6636,35.78,67,20,13.8,US,1679281433
248,harper,4.375,-7.7169,78.75,83,89,8.03,LR,1679281434
249,arlit,18.7369,7.3853,77.31,8,3,11.95,NE,1679281434
250,srivardhan,18.0333,73.0167,78.01,62,4,4.18,IN,1679281435
251,redlands,34.0556,-117.1825,55.65,88,100,0.0,US,1679281154
252,hamilton,39.1834,-84.5333,30.78,62,0,3.78,US,1679281303
253,comodoro rivadavia,-45.8667,-67.5,64.26,24,0,10.36,AR,1679281191
254,teya,60.3778,92.6267,-1.97,87,53,4.14,RU,1679281436
255,khuzdar,27.7384,66.6434,62.53,53,4,2.15,PK,1679281437
256,atlantic city,39.3643,-74.4229,34.99,48,0,4.61,US,1679281437
257,fortuna,40.5982,-124.1573,51.93,95,100,8.05,US,1679281438
258,east london,-33.0153,27.9116,76.82,62,100,10.78,ZA,1679281438
259,chenzhou,25.8,113.0333,77.05,58,46,4.68,CN,1679281234
260,aswan,24.0934,32.907,58.3,33,0,9.22,EG,1679281439
261,loukhi,66.0764,33.0381,23.92,96,100,8.95,RU,1679281439
262,ahipara,-35.1667,173.1667,70.21,63,10,6.67,NZ,1679281440
263,mandalgovi,45.7625,106.2708,39.4,29,6,7.63,MN,1679281440
264,lagos,6.5833,3.75,79.12,84,100,2.71,NG,1679280981
265,hirara,24.8,125.2833,73.67,83,75,18.41,JP,1679281441
266,shakiso,5.75,38.9167,59.02,92,100,1.61,ET,1679281442
